iter	Passed	Remaining
0	1	151
1	3	152
2	4	140
3	5	128
4	6	127
5	8	128
6	9	126
7	10	122
8	11	120
9	13	118
10	14	116
11	15	116
12	17	115
13	19	116
14	20	115
15	21	114
16	23	113
17	24	112
18	25	110
19	27	109
20	28	107
21	29	106
22	31	105
23	32	103
24	34	102
25	35	101
26	37	100
27	38	99
28	40	98
29	41	97
30	43	96
31	44	95
32	47	95
33	48	94
34	50	93
35	52	92
36	53	91
37	55	90
38	56	88
39	58	87
40	60	86
41	61	84
42	62	83
43	64	82
44	66	81
45	68	80
46	70	79
47	72	78
48	74	77
49	76	76
50	78	75
51	80	74
52	82	72
53	83	71
54	85	69
55	86	68
56	88	67
57	90	65
58	92	64
59	94	63
60	96	61
61	98	60
62	99	58
63	102	57
64	104	56
65	106	54
66	108	53
67	110	51
68	111	50
69	113	48
70	116	47
71	119	46
72	123	45
73	125	44
74	127	42
75	130	41
76	131	39
77	134	37
78	135	36
79	137	34
80	139	32
81	141	31
82	143	29
83	145	27
84	146	25
85	148	24
86	151	22
87	153	20
88	154	19
89	157	17
90	159	15
91	161	14
92	163	12
93	164	10
94	166	8
95	168	7
96	170	5
97	172	3
98	174	1
99	175	0
